bookId,title,author,rating,num_pages,publish_date,publisher
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,218,2003-11-5,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,224,2004-11-15,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,558,2005-7-28,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,2000-4-1,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.00,48,1994-8-28,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2001-1-23,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,2003-6-10,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,2005-11-1,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,304,2005-11-1,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.60,256,2006-8-17,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,137,2003-4-14,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,228,2004-6-8,iUniverse
63,The Changeling,Kate Horsley,3.55,339,2005-4-12,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,1990-8-28,Ivy Books
67,The Known World,Edward P. Jones,3.83,388,2006-8-29,Amistad
68,The Known World,Edward P. Jones,3.83,14,2004-6-15,HarperAudio
69,The Known World,Edward P. Jones,3.83,576,2004-6-15,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,2006-5-15,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352,2005-12-14,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,416,1982-6-1,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,248,2006-5-16,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,4.17,128,1986-4-1,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,288,1990-9-1,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,720,1999-1-6,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,448,1991-4-1,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,160,1994-4-1,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,288,1994-4-1,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,208,1987-11-1,Farrar  Straus and Giroux
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81,2002-3-1,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,1991-7-2,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,2006-3-29,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,2006-3-14,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,192,2003-9-1,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,1997-1-28,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri,3.99,352,2002-11-15,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,2004-11-15,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,192,2003-4-28,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,832,2003-10-16,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,123,2004-5-10,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,2004-8-19,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,1987-6-15,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,1987-7-1,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,1987-7-15,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,2004-7-1,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,1984-4-16,Putnam
110,The Road to Dune,Frank Herbert,3.88,426,2006-8-29,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,1987-8-15,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,2002-6-12,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,1996-9-29,Ballantine Books
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,2005-9-13,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell,4.28,256,2004-11-1,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,2006-5-19,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,2000-2-7,Heinemann Drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,2005-5-3,William Morrow Paperbacks
133,eBay for Dummies,Marsha Collier,3.50,386,2006-10-30,Wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,260,2006-1-24,McGraw-Hill
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384,2004-9-17,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,2006-6-6,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,2004-5-31,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,2005-4-25,Wiley
141,Ruby Cookbook,Lucas Carlson,3.84,873,2006-7-29,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,2005-5-3,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,2005-5-3,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,2007-1-1,O'Reilly Media
151,Anna Karenina,Leo Tolstoy,4.05,838,2004-5-31,Penguin Classics
152,Anna Karenina,Leo Tolstoy,4.05,960,2002-11-5,Signet
153,Anna Karenina,Leo Tolstoy,4.05,837,2003-1-30,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,80,1965-11-26,Cliffs Notes
155,Anna Karenina,Leo Tolstoy,4.05,803,2003-7-1,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy,4.05,752,2004-11-23,Dover Publications
157,Anna Karenina,Leo Tolstoy,4.05,803,2004-8-26,Barnes & Noble
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360,2006-1-28,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1987-11-26,Cambridge University Press
162,Untouchable,Mulk Raj Anand,3.71,160,1990-7-3,Penguin Books
163,The Untouchable,John Banville,3.95,367,1998-6-30,Vintage
164,The Untouchables,Eliot Ness,3.89,256,1996-2-1,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,2005-9-27,Scribner
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.20,100,1995-1-28,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,224,2000-12-20,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,216,2003-9-22,Pearson
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.00,48,1991-9-28,Teacher Created Resources
180,Wrinkles in Time,George Smoot,4.01,360,1994-10-1,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00,250,2002-5-1,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60,32,2002-1-1,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00,205,1984-6-1,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,1994-6-1,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,2006-1-3,William Morrow
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.94,320,2005-11-1,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,331,2006-3-7,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.90,244,2004-8-10,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.05,215,2005-3-8,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.94,191,2004-8-10,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,1990-10-3,Vintage
231,I am Charlotte Simmons,Tom Wolfe,3.42,738,2005-8-30,Picador USA
237,Poetry for Young People: Edward Lear,Edward Lear,3.91,48,2001-10-1,Sterling
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,1996-10-3,Puffin
245,Henry Miller on Writing,Henry Miller,4.22,217,1964-2-1,New Directions Publishing
247,Quiet Days in Clichy,Henry Miller,3.69,154,1994-1-13,Grove Press
249,Tropic of Cancer,Henry Miller,3.68,318,1994-1-6,Grove Press
250,Tropic of Capricorn,Henry Miller,3.78,348,1994-1-13,Grove Press
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.10,316,1994-1-13,Grove Press
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,1994-1-12,Grove Press
253,The Air-Conditioned Nightmare,Henry Miller,3.83,292,1970-1-17,New Directions
264,The Portrait of a Lady,Henry James,3.78,797,2003-9-30,Penguin Classics
269,The Portrait of a Lady,Henry James,3.78,635,2004-1-16,Barnes  Noble Classics
277,Writing,Marguerite Duras,3.75,91,1999-5-6,Brookline Books
278,The War,Marguerite Duras,3.85,192,1994-8-1,The New Press
280,The Ravishing of Lol Stein,Marguerite Duras,3.66,181,1986-3-12,Pantheon
285,Love Letters,Kahlil Gibran,3.68,178,1999-7-1,One World (UK)
288,Kahlil Gibran: His Life and World,Jean Gibran,4.21,464,1998-4-1,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19,102,1998-1-1,Penguin Books
290,Jesus the Son of Man,Kahlil Gibran,3.98,216,1995-2-21,Knopf
291,The Broken Wings,Kahlil Gibran,3.92,132,2003-3-3,Citadel
292,Sand and Foam,Kahlil Gibran,4.08,100,2011-6-14,Knopf
295,Treasure Island,Robert Louis Stevenson,3.83,311,2001-9-15,Kingfisher
296,Treasure Island,Robert Louis Stevenson,3.83,213,2004-10-1,Sterling Children's Books
297,Treasure Island,Robert Louis Stevenson,3.83,245,2005-6-1,Simon & Schuster
298,Treasure Island,Robert Louis Stevenson,3.83,64,2003-7-1,Atheneum Books for Young Readers
299,Treasure Island,Robert Louis Stevenson,3.83,272,2002-9-3,Gramercy Books
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05,232,2006-1-31,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,4.61,270,1996-11-22,Black Classic Press
324,Cien años de soledad,Gabriel García Márquez,4.07,448,1990-1-1,French & European
330,On Beyond Zebra!,Dr. Seuss,4.04,64,1955-9-12,Random House Books for Young Readers
332,The Wedding Clause,Debbie Raleigh,3.60,256,2005-6-7,Zebra
333,The Zebra Wall,Kevin Henkes,3.44,147,2005-2-15,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,239,2002-6-1,Booket
348,The Door Into Summer,Robert A. Heinlein,4.01,304,1997-6-17,Del Rey
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528,1991-10-1,Ace
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,1988-6-1,Ace Books
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,1985-10-12,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256,2006-8-8,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307,1991-2-15,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,2005-4-26,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,2005-12-27,Del Rey
367,Douglas Adams's Starship Titanic,Terry Jones,3.60,256,1998-10-27,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93,336,2003-7-1,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus,4.13,72,2011-1-12,Samuel French  Inc.
385,On Bullshit,Harry G. Frankfurt,3.57,67,2005-1-30,Princeton University Press
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,347,2005-9-12,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,1993-6-12,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln,4.53,32,1998-2-2,HMH Books for Young Readers
399,Underworld,Don DeLillo,3.92,827,1998-7-9,Scribner
400,Libra,Don DeLillo,3.99,480,1991-5-1,Penguin
403,Americana,Don DeLillo,3.43,377,1989-7-6,Penguin Books
404,Running Dog,Don DeLillo,3.43,256,1989-7-17,Vintage Contemporaries
406,Cosmopolis,Don DeLillo,3.22,224,2004-4-6,Scribner
407,Great Jones Street,Don DeLillo,3.48,272,1994-1-1,Penguin Books
408,The Names,Don DeLillo,3.64,339,1989-7-17,Vintage
409,Against the Day,Thomas Pynchon,4.13,1085,2006-11-21,Penguin Press
410,V.,Thomas Pynchon,3.96,547,2005-7-5,Harper Perennial Modern Classics
411,The Crying of Lot 49,Thomas Pynchon,3.69,152,1999-4-1,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,4.01,784,2000-1-1,Penguin Books
413,Mason & Dixon,Thomas Pynchon,4.07,773,2004-1-3,Picador USA
414,Vineland,Thomas Pynchon,3.69,385,1997-9-1,Penguin Classics
415,Gravity's Rainbow,Thomas Pynchon,4.01,776,2006-10-31,Penguin Books
416,Slow Learner: Early Stories,Thomas Pynchon,3.50,193,1985-4-30,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,Richard Fariña,3.80,352,1996-8-29,Penguin Classics
420,The Year of Magical Thinking,Joan Didion,3.89,227,2005-10-4,Knopf Publishing Group
421,The White Album,Joan Didion,4.17,222,1990-10-1,Farrar Straus Giroux
422,A Book of Common Prayer,Joan Didion,3.80,272,1995-4-11,Vintage International
423,Where I Was From,Joan Didion,3.86,240,2004-9-14,Vintage
424,Slouching Towards Bethlehem,Joan Didion,4.21,238,1990-10-1,Farrar Straus Giroux
425,Democracy,Joan Didion,3.81,234,1995-4-25,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,4.50,1122,2006-10-17,Everyman's Library
428,Play It As It Lays,Joan Didion,3.87,231,2005-11-15,Farrar  Straus and Giroux
431,The New York Trilogy,Paul Auster,3.89,308,2006-3-28,Penguin Classics
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,203,1987-4-7,Penguin Books
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,96,1987-7-7,Penguin Books
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,179,1986-11-1,Sun and Moon Press
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon,3.89,256,1995-1-1,Sky Books (NY)
446,The Brooklyn Follies,Paul Auster,3.84,306,2006-10-17,Picador
447,Moon Palace,Paul Auster,3.94,320,1990-4-1,Penguin Books
453,The Music of Chance,Paul Auster,3.90,217,1991-12-1,Penguin Books
454,Travels in the Scriptorium,Paul Auster,3.23,145,2007-1-23,Henry Holt & Company
456,Leviathan,Paul Auster,3.96,275,1993-9-1,Penguin Books
463,The Red Notebook: True Stories,Paul Auster,3.77,104,2002-6-17,New Directions
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,1075,2002-11-7,Actes Sud
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,608,2005-12-27,Penguin Books Ltd. (London)
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb,3.40,211,2006-2-1,Business Plus
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,262,1990-3-29,Cambridge University Press
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.80,544,2001-8-7,Simon  Schuster
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,272,2002-1-29,Ballantine Books
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo,4.39,576,1998-9-17,W. W. Norton  Company
493,My Inventions,Nikola Tesla,4.01,88,2006-5-17,Filiquarian Publishing  LLC.
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer,3.78,542,2001-2-1,Citadel
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,144,1994-10-1,Lerner Publications
498,Tesla Papers,Nikola Tesla,4.13,100,2000-12-1,Adventures Unlimited Press
511,Boys of Summer,Julie Elizabeth Leto,3.77,249,2006-6-27,Harlequin Blaze
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas,4.03,828,2004-10-11,Pragmatic Bookshelf
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly,3.95,112,2000-6-13,Cliffs Notes
524,Lord of the Flies,William Golding,3.68,6,2005-10-11,Listening Library (Audio)
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,397,2006-9-12,Random House
534,We Were Not Like Other People,Ephraim Sevela,4.14,216,1989-1-1,HarperCollins Publishers
537,The Lovely Bones,Alice Sebold,3.81,328,2003-6-1,Picador
538,The Lovely Bones,Alice Sebold,3.81,532,2004-4-1,Large Print Press
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.80,224,1990-5-13,Ballantine Books
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea,3.98,296,2005-2-17,Peachpit Press
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.80,456,2006-8-1,Peachpit Press
576,1000 Record Covers,Michael Ochs,3.85,575,2005-5-15,Taschen
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,245,2006-6-13,Scribner
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,272,2004-7-2,Scribner
619,Vice (V  #8),Jane Feather,3.51,419,1996-5-2,Bantam
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,540,2006-4-25,HarperTorch
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley,4.08,32,2005-4-1,Walker & Company
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto,3.72,408,1990-11-19,William Morrow Paperbacks
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,222,2002-7-5,Haynes Manuals N. America  Inc.
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel,3.93,191,2004-9-1,Rockport Publishers
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy,4.11,304,2003-4-1,Signet Classics
656,War and Peace,Leo Tolstoy,4.11,1392,1998-6-25,Oxford University Press
658,The Kingdom of God Is Within You,Leo Tolstoy,4.13,352,2006-9-8,Dover Publications
662,Atlas Shrugged,Ayn Rand,3.69,1168,1999-8-1,Plume
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,224,1963-12-1,Signet Book
664,The Fountainhead,Ayn Rand,3.87,752,2005-4-26,Dutton
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand,3.51,176,1964-11-1,Signet
667,Anthem,Ayn Rand,3.63,105,1999-12-1,NAL
668,We the Living,Ayn Rand,3.91,464,1996-1-1,Signet
669,Capitalism: The Unknown Ideal,Ayn Rand,3.88,340,1986-7-15,Signet
670,Letters of Ayn Rand,Ayn Rand,3.96,681,1997-2-1,NAL
672,Sailing for Dummies,J.J. Isler,3.95,416,2006-6-1,For Dummies
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,368,2006-7-25,Delacorte Press
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,192,2002-9-17,Random House Trade Paperbacks
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,286,2004-4-1,Lyons Press
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,571,2004-1-1,Alliance Publishing
685,The Natural,Bernard Malamud,3.63,231,2003-7-7,Farrar Straus Giroux
698,Digging to America,Anne Tyler,3.55,277,2006-5-2,Alfred A. Knopf
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo,3.77,826,2004-1-21,Bedford Books
702,Modern Latin America,Thomas E. Skidmore,3.59,528,2004-10-7,Oxford University Press  USA
703,The Plot Against America,Philip Roth,3.77,391,2005-9-27,Vintage International
707,Naked Pictures of Famous People,Jon   Stewart,3.59,164,1999-9-22,Dey Street Books
759,Collected Stories,Gabriel García Márquez,4.19,352,2008-5-13,Harper Perennial Modern Classics
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.97,118,2003-10-14,Vintage Espanol
763,Cien años de soledad,Gabriel García Márquez,4.07,496,2006-2-7,Plaza y Janes
764,Del amor y otros demonios,Gabriel García Márquez,3.98,176,2006-2-7,Plaza y Janes
765,Living to Tell the Tale,Gabriel García Márquez,3.99,533,2004-10-12,Vintage
766,Memoria de mis putas tristes,Gabriel García Márquez,3.60,112,2004-10-19,Vintage Espanol
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,425,2004-9-2,Vintage Books USA
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon,4.29,288,2005-5-15,Wisdom Publications
787,The Mini Rough Guide to London,Rob Humphreys,3.75,363,2006-4-1,Rough Guides
793,Best of London (Lonely Planet Best Of),Lonely Planet,3.83,128,2004-9-1,Lonely Planet
797,Lonely Planet Londres,Lonely Planet,4.03,480,2006-5-1,Geoplaneta
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet,0.00,295,2001-9-1,Lonely Planet
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,287,2006-4-4,Mariner Books
816,Cryptonomicon,Neal Stephenson,4.25,1139,2002-11-1,Avon
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.10,418,2001-3-31,Payot
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,815,2005-6-14,William Morrow Paperbacks
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,927,2004-9-21,HarperCollins Perennial
824,The Cobweb,Neal Stephenson,3.61,448,2005-5-31,Spectra Books
826,The Big U,Neal Stephenson,3.25,308,2001-2-6,William Morrow Paperbacks
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson,4.19,499,2000-5-2,Spectra
828,Interface,Neal Stephenson,3.68,640,2005-5-31,Spectra
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.20,464,2006-3-28,HarperTorch
830,Snow Crash,Neal Stephenson,4.03,438,2000-8-2,Bantam Books
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington,4.16,450,2005-6-1,Two Plus Two Publishing LLC
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington,4.24,381,2004-12-1,Two Plus Two Publishing LLC
840,The Design of Everyday Things,Donald A. Norman,4.17,240,2002-9-19,Basic Books
